t,z,authority_ratio,turns,release,valve,afilt,bhat,vz,state,itki,safety,thrust
1.91,0.995471184801,2.46637794316,0.639245214894,1,0.412557824262,1.31840675936,24.6671237248,1.65452074004,4,0,0,270.92415024
1.92,1.01201881001,2.47116602359,0.639245214894,1,0.411735682219,1.21664707194,24.6951367195,1.65498484671,4,0,0,270.600139135
1.93,1.02857048702,2.47539412043,0.639245214894,1,0.410992418335,1.12208555694,24.7193151724,1.65533112805,4,0,0,270.276582035
1.94,1.04512503841,2.47910595016,0.639245214894,1,0.410322537867,1.03414768104,24.7399557624,1.65555974913,4,0,0,269.953478167
1.95,1.06168128839,2.48234176006,0.639245214894,1,0.409721052389,0.952304871437,24.7573316328,1.65567087475,4,0,0,269.630826793
1.96,1.07823806284,2.48513860517,0.639245214894,1,0.409183428727,0.876070839067,24.7716942715,1.65566466941,4,0,0,269.308627186
1.97,1.09479418927,2.48753060311,0.639245214894,1,0.408705543721,0.804998195878,24.7832752399,1.65554129741,4,0,0,268.986878621
1.98,1.11134849683,2.48954916853,0.639245214894,1,0.408283644048,0.738675342763,24.7922877645,1.65530092272,4,0,0,268.665580378
1.99,1.12789981632,2.49122322878,0.639245214894,1,0.407914310462,0.676723606447,24.7989282006,1.65494370911,4,0,0,268.344731736
2,1.14444698015,2.49257942242,0.639245214894,1,0.407594425885,0.618794605423,24.803377379,1.65446982005,4,0,0,268.024331977
2.01,1.1609888224,2.49364228173,0.639245214894,1,0.407321146903,0.564567826615,24.8058018452,1.65387941875,4,0,0,267.704380384
2.02,1.17752417876,2.49443440079,0.639245214894,1,0.407091878225,0.51374839591,24.8063549995,1.65317266818,4,0,0,267.384876242
2.03,1.19405188654,2.49497658998,0.639245214894,1,0.406949300027,0.466065027038,24.8024321543,1.65234973103,4,0,0,267.065818835
2.04,1.2105707847,2.4952880182,0.639245214894,1,0.406905186743,0.421268134556,24.7933138242,1.65141076974,4,0,0,266.747207451
2.05,1.2270797138,2.49538634372,0.639245214894,1,0.406950104066,0.37912809778,24.779579555,1.65035594649,4,0,0,266.429041377
2.06,1.24357751603,2.49449976129,0.639245214894,1,0.407075594627,0.339433663611,24.7617544896,1.6491854232,4,0,0,266.111319903
2.07,1.26006303521,2.49211841677,0.639245214894,1,0.407274069862,0.30199047713,24.7403141214,1.64789936152,4,0,0,265.79404232
2.08,1.27653511675,2.4886029336,0.639245214894,1,0.407538715858,0.26661972975,24.7156886487,1.64649792287,4,0,0,265.47720792
2.09,1.29299260769,2.48424175468,0.639245214894,1,0.407863411044,0.23315691551,24.6882669599,1.64498126839,4,0,0,265.160815995
2.1,1.30943435668,2.47926471621,0.639245214894,1,0.408242653967,0.201450686869,24.6584002837,1.64334955896,4,0,0,264.84486584
2.11,1.32585921398,2.47385413179,0.639245214894,1,0.408671499684,0.171361802041,24.6264055283,1.64160295523,4,0,0,264.529356751
2.12,1.34226603143,2.46815383852,0.639245214894,1,0.409145503565,0.142762156529,24.5925683382,1.63974161756,4,0,0,264.214288025
